lst,geographic_area_name,county,state,estimate_households_total,poor(<10K),lower_poor(10K-15K),middle_poor(15K-25K),upper_poor(25K-35K),working(35K-50K),lower_middle(50K-75K),middle(75K-100K),upper_middle(100K-150K),elite(150K-200K),upper_elite(>200K),median_income
 AL,"Baldwin County, Alabama",Baldwin County, Alabama,82325,4.9,3.9,9.4,10.4,16.5,14.1,13.3,16,4.9,6.6,56439
 AL,"Calhoun County, Alabama",Calhoun County, Alabama,44636,9.6,7.3,8.4,13.1,12.8,18.7,12.2,12.9,2.8,2.2,48156
 AL,"Cullman County, Alabama",Cullman County, Alabama,32090,4.4,5.4,11,13.2,14.9,22,15.3,8.6,2.9,2.4,50906
 AL,"DeKalb County, Alabama",DeKalb County, Alabama,24880,7.2,8.4,15.6,7.6,16.9,18.9,10.7,11,3,0.7,44208
 AL,"Elmore County, Alabama",Elmore County, Alabama,30712,2.9,1.9,13.2,10.8,10.3,21,11.4,16.3,6.4,5.8,61854
 AL,"Etowah County, Alabama",Etowah County, Alabama,40053,9.9,6.3,15.9,11.8,13.4,17.5,9.7,10.3,3,2.3,41447
 AL,"Houston County, Alabama",Houston County, Alabama,39761,9.2,6,11.2,11.2,12.4,18.9,10.2,11.6,5.2,4.3,50103
 AL,"Jefferson County, Alabama",Jefferson County, Alabama,264753,9.7,5,8.9,10.4,12.6,17,9.8,14.1,5.9,6.6,53944
 AL,"Lauderdale County, Alabama",Lauderdale County, Alabama,38761,9.3,7,10.8,10.2,15.2,16.6,13.3,12.5,2.3,2.8,46632
 AL,"Lee County, Alabama",Lee County, Alabama,64448,11.2,6.3,11.7,6.3,12.2,17.9,9.8,13,5.7,5.8,53712
 AL,"Limestone County, Alabama",Limestone County, Alabama,32020,3.7,5.9,8.4,12.2,10.1,16.8,11.8,18.9,6.7,5.5,63695
 AL,"Madison County, Alabama",Madison County, Alabama,155878,5.2,4.4,8.9,8.8,11.7,14.5,12.4,17.5,9.2,7.3,67930
 AL,"Marshall County, Alabama",Marshall County, Alabama,35330,8,4.6,12.6,8.1,16.9,21.2,12,9.8,3.6,3.2,49467
 AL,"Mobile County, Alabama",Mobile County, Alabama,155946,9,5.8,11.2,10.2,14.2,20.3,10.5,11.3,4.3,3.2,49639
 AL,"Montgomery County, Alabama",Montgomery County, Alabama,88864,8.1,3.6,9.2,10.1,15.7,20.2,11.1,13.3,4.5,4.3,53117
 AL,"Morgan County, Alabama",Morgan County, Alabama,46470,6.8,5.3,9.4,11,12.8,19.6,12.1,13.9,4.9,4.2,54338
 AL,"St. Clair County, Alabama",St. Clair County, Alabama,32829,3.9,2.9,7.8,8.7,12.6,20.2,13.8,22.3,4,3.9,67487
 AL,"Shelby County, Alabama",Shelby County, Alabama,84048,3.9,2.8,7.4,6.8,10.8,17.9,13.4,19.7,8,9.2,75614
 AL,"Talladega County, Alabama",Talladega County, Alabama,30602,9.7,6.8,13.5,12.2,7.7,16.4,13.5,14.3,3.6,2.4,50147
 AL,"Tuscaloosa County, Alabama",Tuscaloosa County, Alabama,74259,9,5,10.6,11,12.6,17.6,8.4,15.1,5.5,5.3,52243
 AL,"Walker County, Alabama",Walker County, Alabama,25153,7.4,5.3,14.4,10.9,15,16.3,12,13.7,3.3,1.9,46283
AK,"Anchorage Municipality, Alaska",Anchorage Municipality, Alaska,105198,3.8,2.7,4.6,6.6,10.1,17.6,13.1,20.4,10.8,10.2,82716
AK,"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough, Alaska,35556,2.8,1.9,7.7,5.7,11.5,21.5,11.1,16,9.4,12.4,72065
AK,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough, Alaska,32736,4.5,2.9,7.7,6.9,9.6,18.7,14.6,18,8.7,8.4,74709
AZ,"Apache County, Arizona",Apache County, Arizona,20925,22.3,6.6,13.6,12.3,12.3,14.5,6.2,9.9,1.4,0.7,30480
AZ,"Cochise County, Arizona",Cochise County, Arizona,51982,7.8,4.5,9.9,11,18.5,15.6,10.7,14.3,4.9,2.8,48484
AZ,"Coconino County, Arizona",Coconino County, Arizona,48993,9.3,5.5,6.7,6.8,13.8,18.2,10.9,15,8.3,5.6,58085
AZ,"Maricopa County, Arizona",Maricopa County, Arizona,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649
AZ,"Mohave County, Arizona",Mohave County, Arizona,91095,4.9,4.9,12.1,11.2,16.6,22.5,12.6,9.8,2.7,2.5,50179
AZ,"Navajo County, Arizona",Navajo County, Arizona,38732,12.8,5.1,10.8,15.9,15.8,15.7,9.9,9.8,2.8,1.5,38897
AZ,"Pima County, Arizona",Pima County, Arizona,410404,6.9,4.3,9.7,10,14.5,17.4,13.1,13.8,5.2,5,56169
AZ,"Pinal County, Arizona",Pinal County, Arizona,153413,4.2,3.1,8.2,8.1,14.6,21.7,14.6,16.1,5.6,3.9,62057
AZ,"Yavapai County, Arizona",Yavapai County, Arizona,102784,5.5,5,10.7,9.4,15.6,21.1,11.5,12,4.2,4.8,53816
AZ,"Yuma County, Arizona",Yuma County, Arizona,74042,10.5,5.6,11.2,10.9,14.5,18.8,14.9,9.5,2.3,1.8,46419
AK,"Benton County, Arkansas",Benton County, Arkansas,100749,4.4,3.4,6.9,7.7,11.2,19.4,15,16,6.2,9.7,69130
AK,"Craighead County, Arkansas",Craighead County, Arkansas,41409,6.2,5,14.9,13.7,13.4,14.8,9.8,14.6,3.4,4.1,45610
AK,"Faulkner County, Arkansas",Faulkner County, Arkansas,47389,8.7,3.2,10.9,9.1,12.2,20.3,15.1,13.1,3.1,4.4,57642
AK,"Garland County, Arkansas",Garland County, Arkansas,41743,8.3,8,11.5,10.1,16.7,19.7,10.3,8.3,4.6,2.6,45265
AK,"Jefferson County, Arkansas",Jefferson County, Arkansas,27593,11.4,12.3,10.8,9.3,17.5,14.9,10.5,8,2,3.2,39326
AK,"Lonoke County, Arkansas",Lonoke County, Arkansas,26052,6.9,3.6,7.6,6.9,13.8,19.1,15.2,16.2,7,3.6,62532
AK,"Pulaski County, Arkansas",Pulaski County, Arkansas,158000,6.9,5.9,9.4,10.8,15,19.2,9.7,13.3,5.1,4.8,52043
AK,"Saline County, Arkansas",Saline County, Arkansas,45455,3.2,6,7.6,7.8,12.4,20.5,12.9,19.6,7,3.1,66327
AK,"Sebastian County, Arkansas",Sebastian County, Arkansas,51384,6.2,5.3,12.1,14,13.7,18.9,11.5,11.7,3.2,3.4,48839
AK,"Washington County, Arkansas",Washington County, Arkansas,89249,7.5,3.7,11.6,10.5,15.9,17,10.7,13,4.2,5.7,50798
AK,"White County, Arkansas",White County, Arkansas,28621,6.6,6.3,16.8,12,12.2,19.3,9.9,11.4,3.2,2.2,43399
CA,"Alameda County, California",Alameda County, California,585632,4.2,3.4,4.9,4.8,6.4,11.6,10.7,19,12.8,22.2,108322
CA,"Butte County, California",Butte County, California,77651,6.2,5.7,9.1,10.5,10.3,16.7,13.6,14,5.2,8.7,62563
CA,"Contra Costa County, California",Contra Costa County, California,399792,3.3,2.8,4,4.8,6.9,12.2,12.5,18.9,12.2,22.4,107135
CA,"El Dorado County, California",El Dorado County, California,74216,4.4,4.6,5.7,6.1,8.8,13.6,12,20,10.4,14.3,87059
CA,"Fresno County, California",Fresno County, California,315974,7.7,5.3,9.7,10.1,11.5,17,12.4,14.4,6.4,5.4,57518
CA,"Humboldt County, California",Humboldt County, California,55692,7.6,11.7,7.1,8.2,14.2,15.3,11.5,12.7,5.5,6.2,51662
CA,"Imperial County, California",Imperial County, California,48182,6.8,10.4,11.5,9,14.6,14.6,12.9,12.4,4.7,3,48472
CA,"Kern County, California",Kern County, California,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067
CA,"Kings County, California",Kings County, California,44761,4.6,2.5,11.3,11.1,13.5,22.1,12.7,12,6.5,3.6,58453
CA,"Lake County, California",Lake County, California,25968,5.4,8.3,9.4,11.2,21.1,14.8,10.7,10.8,4.8,3.7,47138
CA,"Los Angeles County, California",Los Angeles County, California,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797
CA,"Madera County, California",Madera County, California,44387,6,1.7,7.3,14.1,11.5,16.1,14.1,18.4,5.8,4.9,64827
CA,"Marin County, California",Marin County, California,105298,3.4,2.5,4.5,4.7,8.8,10.6,11,16,10,28.6,110843
CA,"Mendocino County, California",Mendocino County, California,34478,3.8,7.8,11.8,9.3,15.1,18.6,10.5,14.3,4.6,4.1,51744
CA,"Merced County, California",Merced County, California,80645,3.4,4.5,9.5,8.8,14.9,20,13.6,14,5.9,5.4,61167
CA,"Monterey County, California",Monterey County, California,128227,3.2,2.2,8.3,7,10.8,16,15.8,18.5,7.5,10.6,77514
CA,"Napa County, California",Napa County, California,48107,3.4,3.2,3.7,4,10.7,14.1,14.1,17.5,11.3,17.9,92769
CA,"Nevada County, California",Nevada County, California,39365,3.5,1.6,9.6,11.1,14.7,13.5,13.6,13.5,6.8,12.2,68818
CA,"Orange County, California",Orange County, California,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934
CA,"Placer County, California",Placer County, California,147236,2.8,2.5,5.5,5.7,7.4,13.6,13.5,20.8,11.7,16.4,97723
CA,"Riverside County, California",Riverside County, California,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260
CA,"Sacramento County, California",Sacramento County, California,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017
CA,"San Bernardino County, California",San Bernardino County, California,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903
