"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US01003","Baldwin County, Alabama","82325","3231","4.9","1.6","3.9","1.4","9.4","2.0","10.4","2.4","16.5","2.7","14.1","2.4","13.3","2.3","16.0","2.7","4.9","1.3","6.6","1.5","56439","6268","81449","5336","35.8","(X)","(X)","(X)","(X)","(X)","53962","3415","2.8","1.6","1.9","1.1","6.2","2.3","10.0","3.0","14.9","3.7","12.8","2.5","15.4","3.2","19.9","3.9","6.7","1.9","9.2","2.2","76892","7776","97364","7352","(X)","(X)","38.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88020","5630","N","N","(X)","(X)","(X)","(X)","(X)","(X)","28363","2983","9.0","3.6","7.8","3.6","16.6","4.4","12.9","5.3","18.6","5.3","18.0","5.6","6.0","2.6","8.3","3.7","1.5","1.3","1.2","1.1","37494","5940","48871","5729","(X)","(X)","(X)","(X)","30.1","(X)"
"0500000US01015","Calhoun County, Alabama","44636","2010","9.6","3.1","7.3","2.4","8.4","2.0","13.1","3.1","12.8","2.6","18.7","3.1","12.2","3.1","12.9","2.6","2.8","1.6","2.2","0.8","48156","4922","61137","4376","38.2","(X)","(X)","(X)","(X)","(X)","28975","2198","7.1","3.3","2.0","1.5","7.0","2.6","10.9","3.7","11.8","3.2","22.5","5.1","12.8","3.8","18.2","3.7","4.2","2.5","3.4","1.3","61918","3560","75168","6321","(X)","(X)","38.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","72489","11305","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15661","1965","14.4","5.4","17.2","5.7","14.8","4.4","17.5","5.1","14.6","5.8","11.0","3.4","8.0","4.5","2.7","2.6","0.0","1.1","0.0","1.1","26143","3350","32609","4229","(X)","(X)","(X)","(X)","35.7","(X)"
"0500000US01043","Cullman County, Alabama","32090","1233","4.4","1.5","5.4","2.2","11.0","2.8","13.2","3.5","14.9","3.1","22.0","3.7","15.3","3.6","8.6","2.1","2.9","1.6","2.4","1.4","50906","3480","61920","4428","43.2","(X)","(X)","(X)","(X)","(X)","23212","1335","3.0","1.4","1.4","1.2","6.7","2.6","9.6","3.3","15.1","3.7","27.1","5.1","18.6","4.3","11.3","2.9","3.8","2.2","3.4","1.9","60886","3502","72582","5821","(X)","(X)","42.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","69430","6597","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8878","1290","10.1","4.8","16.2","7.1","28.4","7.9","21.4","8.1","11.5","3.5","8.7","4.5","2.8","3.2","0.4","0.6","0.5","0.9","0.0","1.9","22464","3132","28508","2622","(X)","(X)","(X)","(X)","37.1","(X)"
"0500000US01049","DeKalb County, Alabama","24880","1347","7.2","2.8","8.4","3.8","15.6","3.5","7.6","3.1","16.9","4.1","18.9","3.3","10.7","3.3","11.0","2.9","3.0","2.0","0.7","0.6","44208","5702","56777","4922","36.4","(X)","(X)","(X)","(X)","(X)","16366","1614","4.0","3.1","2.5","3.5","12.1","4.6","7.7","3.5","19.2","4.9","21.3","4.1","12.5","4.5","15.6","4.2","4.4","2.9","0.7","0.7","54871","7736","66524","5820","(X)","(X)","36.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","61984","5493","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8514","1429","15.7","6.6","19.8","7.4","22.5","7.0","7.5","5.1","11.0","6.0","14.0","5.4","7.5","5.9","0.9","1.0","0.5","0.9","0.6","1.0","21213","4028","36416","10258","(X)","(X)","(X)","(X)","36.0","(X)"
"0500000US01051","Elmore County, Alabama","30712","1330","2.9","1.4","1.9","1.3","13.2","4.1","10.8","3.3","10.3","3.2","21.0","3.8","11.4","3.2","16.3","4.0","6.4","2.0","5.8","2.2","61854","5816","82576","7453","34.9","(X)","(X)","(X)","(X)","(X)","21146","1709","1.6","1.3","1.1","1.1","7.7","3.8","10.2","4.1","7.9","3.2","21.1","4.6","12.9","3.9","20.6","5.2","9.1","2.9","7.8","3.0","76574","9027","96212","8445","(X)","(X)","32.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","92304","14646","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9566","1601","7.3","4.1","4.0","3.2","25.8","8.1","13.0","7.0","13.8","7.5","21.1","7.5","6.4","4.5","7.3","4.6","0.4","0.8","1.0","1.3","34964","10694","50153","12317","(X)","(X)","(X)","(X)","39.1","(X)"
"0500000US01055","Etowah County, Alabama","40053","1930","9.9","2.6","6.3","1.6","15.9","3.4","11.8","2.4","13.4","2.6","17.5","2.9","9.7","3.2","10.3","2.4","3.0","1.4","2.3","1.2","41447","4256","59944","6751","40.2","(X)","(X)","(X)","(X)","(X)","25177","2229","4.8","1.9","4.6","2.1","10.8","3.4","11.2","2.9","12.8","3.3","22.3","4.0","10.9","3.5","15.0","3.5","4.3","2.2","3.3","1.9","53690","3889","71632","8790","(X)","(X)","45.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","65053","7820","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14876","1961","19.7","6.2","9.2","3.3","23.9","6.2","14.1","4.6","13.3","4.6","8.6","4.0","7.5","5.1","2.7","1.8","0.4","0.7","0.6","0.8","23712","3356","39099","10036","(X)","(X)","(X)","(X)","31.2","(X)"
"0500000US01069","Houston County, Alabama","39761","1040","9.2","1.5","6.0","1.1","11.2","1.8","11.2","1.3","12.4","1.6","18.9","2.0","10.2","1.4","11.6","1.5","5.2","1.4","4.3","0.9","50103","2903","69495","3569","43.6","(X)","(X)","(X)","(X)","(X)","25893","1260","5.0","1.4","3.8","1.5","11.0","2.5","9.9","1.5","10.5","1.7","18.9","2.5","12.2","1.9","15.2","2.1","6.9","2.1","6.5","1.3","62034","5647","84280","5468","(X)","(X)","44.4","(X)","(X)","(X)","17794","1000","1.6","0.9","2.3","1.7","5.7","1.9","5.5","1.7","11.1","2.2","20.0","2.9","15.7","2.7","20.0","2.6","9.3","2.8","8.9","1.9","81335","5867","103863","7147","(X)","(X)","(X)","(X)","(X)","(X)","13868","1027","18.3","3.4","10.6","2.1","13.8","2.5","14.0","2.6","14.3","3.3","16.5","3.0","6.2","1.8","4.2","1.5","1.7","1.3","0.3","0.2","30245","2841","39072","3326","(X)","(X)","(X)","(X)","40.1","(X)"
"0500000US01073","Jefferson County, Alabama","264753","3376","9.7","1.1","5.0","0.7","8.9","1.1","10.4","1.0","12.6","1.4","17.0","1.4","9.8","1.1","14.1","0.9","5.9","0.9","6.6","0.8","53944","2334","79833","2865","42.4","(X)","(X)","(X)","(X)","(X)","164678","5036","5.4","0.9","2.8","0.7","5.8","1.2","9.0","1.5","12.1","1.6","17.8","1.6","12.5","1.5","17.5","1.3","7.8","1.2","9.2","1.2","70617","3223","96989","4179","(X)","(X)","44.6","(X)","(X)","(X)","110529","4815","1.4","0.6","0.9","0.5","2.7","0.9","5.8","1.3","10.9","1.8","17.4","1.8","14.3","1.8","22.2","1.9","11.1","1.6","13.3","1.6","93295","3944","120888","4913","(X)","(X)","(X)","(X)","(X)","(X)","100075","4766","17.1","2.2","9.2","1.6","14.1","2.1","13.8","2.1","13.5","2.0","15.6","2.2","5.8","1.2","6.7","1.5","2.2","1.0","2.0","0.7","31870","1572","48905","3415","(X)","(X)","(X)","(X)","37.7","(X)"
"0500000US01077","Lauderdale County, Alabama","38761","1573","9.3","2.6","7.0","2.3","10.8","2.7","10.2","2.6","15.2","3.0","16.6","3.4","13.3","3.3","12.5","2.9","2.3","1.0","2.8","1.3","46632","4682","62091","4367","44.3","(X)","(X)","(X)","(X)","(X)","23883","1892","4.3","2.0","2.2","1.8","9.2","3.8","9.7","3.3","14.2","4.2","17.1","4.2","17.9","4.7","17.8","4.3","3.8","1.8","3.8","1.7","65564","5679","77519","6513","(X)","(X)","43.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","75745","8178","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14878","1576","17.6","5.8","14.8","5.5","15.3","4.1","10.8","4.1","18.2","6.1","15.3","5.1","4.0","2.8","2.9","1.7","0.0","1.2","1.2","1.9","26571","4844","35213","4282","(X)","(X)","(X)","(X)","44.1","(X)"
