Rank,State,%,Number_people,
1,Vermont,13.99,"14,799",
2,Hawaii,14.6,"23,566",
3,Maryland,15.02,"116,770",
4,Massachussetts,15.48,"172,984",
5,Iowa,15.8,"70,141",
6,North Dakota,16.05,"14,444",
7,Minnesota,16.55,"115,052",
8,Connecticut,16.97,"90,187",
9,Maine,17.23,"46,660",
10,District of Columbia,17.58,"14,515",
11,South Dakota,17.58,"21,739",
12,Delware,17.93,"26,927",
13,Pennsylvania,18.39,"392,862",
14,California,18.42,"989,739",
15,Washington,19.07,"240,252",
16,Colorado,19.32,"150,376",
17,Alaska,19.57,"20,460",
18,Kansas,19.57,"83,025",
19,Wisconsin,20.14,"173,642",
20,Nebraska,21.15,"53,481",
21,Montana,21.17,"38,420",
22,Illinois,21.33,"356,842",
23,Michigan,21.34,"360,242",
24,Rhode Island,21.38,"34,684",
25,New Hampshire,21.78,"43,729",
26,New York,21.98,"622,253",
27,Oregon,22.12,"168,274",
28,Wyoming,22.85,"19,831",
29,Missouri,22.98,"242,560",
30,New Jersey,23.01,"247,481",
31,Virginia,23.48,"274,837",
32,West Virginia,23.61,"99,442",
33,Oklahoma,23.95,"178,701",
34,Ohio,24.13,"473,801",
35,Arizona,24.75,"258,773",
36,Utah,24.92,"89,128",
37,Indiana,25.42,"271,816",
38,North Carolina,25.75,"410,691",
39,Tennessee,25.75,"325,617",
40,New Mexico,26.11,"91,104",
41,Kentucky,26.38,"239,331",
42,Alabama,26.41,"268,038",
43,Nevada,26.7,"112,781",
44,Florida,26.88,"903,046",
45,Texas,27.56,"884,331",
46,Louisiana,27.81,"216,683",
47,Arkansas,28.73,"167,867",
48,South Carolina,29.06,"256,709",
49,Idaho,29.14,"69,095",
50,Mississippi,32.11,"170,709",
51,Georgia,22.94,"474,869",
52,National,,"11,330,000",
