Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.5,22.7,24.3,22.7 - 24.3,
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.7,30.2,35.2,30.2 - 35.2,
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,25.7,24.1,27.3,24.1 - 27.3,
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,24.8,23.3,26.2,23.3 - 26.2,
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.2,21.5,25.0,21.5 - 25.0,
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,18.4,17.0,19.7,17.0 - 19.7,
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,13.6,11.8,15.5,11.8 - 15.5,
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,14.4,9.0,21.4,9.0 - 21.4,
Symptoms of Depressive Disorder,By Sex,United States,Male,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,20.8,19.6,22.0,19.6 - 22.0,
Symptoms of Depressive Disorder,By Sex,United States,Female,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,26.1,25.2,27.1,25.2 - 27.1,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,29.4,26.8,32.1,26.8 - 32.1,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,21.4,20.6,22.1,20.6 - 22.1,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,25.6,23.7,27.5,23.7 - 27.5,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.6,20.3,27.1,20.3 - 27.1,
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,28.3,24.8,32.0,24.8 - 32.0,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,32.7,27.8,38.0,27.8 - 38.0,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,25.4,23.9,26.9,23.9 - 26.9,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,25.6,24.4,26.9,24.4 - 26.9,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,17.6,16.8,18.4,16.8 - 18.4,
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,18.6,14.6,23.1,14.6 - 23.1,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,19.2,16.8,21.8,16.8 - 21.8,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.4,19.4,25.5,19.4 - 25.5,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,26.6,22.3,31.3,22.3 - 31.3,24.1 - 28.7
Symptoms of Depressive Disorder,By State,California,California,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,25.4,22.5,28.6,22.5 - 28.6,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.0,19.4,24.9,19.4 - 24.9,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,24.4,20.1,29.1,20.1 - 29.1,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,21.1,17.6,24.9,17.6 - 24.9,20.8 - 22.1
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,26.4,22.1,31.1,22.1 - 31.1,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Florida,Florida,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,25.6,21.4,30.2,21.4 - 30.2,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,20.0,14.9,26.1,14.9 - 26.1,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,20.6,17.3,24.1,17.3 - 24.1,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.3,19.6,27.2,19.6 - 27.2,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,26.4,22.1,31.0,22.1 - 31.0,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,16.5,13.7,19.6,13.7 - 19.6,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.1,18.3,26.4,18.3 - 26.4,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.2,19.4,27.4,19.4 - 27.4,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,28.1,24.1,32.4,24.1 - 32.4,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Maine,Maine,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,19.5,16.0,23.5,16.0 - 23.5,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,20.9,17.9,24.1,17.9 - 24.1,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,25.9,22.7,29.4,22.7 - 29.4,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,25.5,22.0,29.4,22.0 - 29.4,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,20.4,17.7,23.4,17.7 - 23.4,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.9,18.7,27.6,18.7 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,21.0,17.9,24.5,17.9 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Montana,Montana,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,18.2,14.9,21.8,14.9 - 21.8,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,19.1,15.3,23.3,15.3 - 23.3,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.6,19.1,28.7,19.1 - 28.7,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,19.5,16.5,22.7,16.5 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.6,20.4,27.0,20.4 - 27.0,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.4,18.3,26.9,18.3 - 26.9,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New York,New York,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,21.1,17.1,25.6,17.1 - 25.6,20.8 - 22.1
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,17.0,13.7,20.7,13.7 - 20.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,21.2,18.2,24.5,18.2 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,20.8,16.4,25.7,16.4 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,24.7,21.6,28.1,21.6 - 28.1,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,24.5,19.9,29.7,19.9 - 29.7,24.1 - 28.7
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,21.6,17.9,25.7,17.9 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,17.5,13.0,22.7,13.0 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.2,17.2,27.8,17.2 - 27.8,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Texas,Texas,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,24.4,21.1,27.9,21.1 - 27.9,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Utah,Utah,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.9,20.0,26.0,20.0 - 26.0,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,20.7,15.9,26.3,15.9 - 26.3,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,21.5,18.0,25.3,18.0 - 25.3,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Washington,Washington,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.1,19.7,24.7,19.7 - 24.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.4,19.5,27.6,19.5 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,22.0,19.2,25.0,19.2 - 25.0,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,18.9,15.3,22.9,15.3 - 22.9,16.5 - 20.7
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,30.8,30.0,31.7,30.0 - 31.7,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.2,38.1,42.4,38.1 - 42.4,
