,,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
PR DEPARTMENT OF HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$7,570,724 "
VI DEPARTMENT OF HEALTH,43577068,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$843,991 "
PR DEPARTMENT OF PUBLIC HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$3,020,010 "
YORK HOSPITAL,77461549,YORK,ME,3909,YORK,United States of America,Hospital,City Government,"$125,000 "
IL  ST  DEPT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$85,135,231 "
ME DEPT OF BEHAVIORAL & DEVELOPMENTAL SERVICES,809045594,AUGUSTA,ME,4333,KENNEBEC,United States of America,Health Department,State Government,"$2,309,425 "
ME ST DEPARTMENT OF HEALTH & WELFARE,809045594,AUGUSTA,ME,4330,KENNEBEC,United States of America,Health Department,State Government,$0 
MAINE HEALTH DATA ORGANIZATION,143316516,AUGUSTA,ME,43330102,KENNEBEC,United States of America,Other Health Organization,State Government,$0 
"Me State Attorney General, Medical Examiner`s Office",809175169,AUGUSTA,ME,4333,KENNEBEC,United States of America,Other Health Organization,State Government,"$206,007 "
City of Portland Maine,71747802,PORTLAND,ME,4101,CUMBERLAND,United States of America,Health Department,City Government,"$356,533 "
"ISLANDS COMMUNITY MEDICAL SERVICE, INC",37717881,VINALHAVEN,ME,48630812,KNOX,United States of America,Other Health Organization,City Government,"$750,608 "
"City of Franklin, New Hampshire",5598313,FRANKLIN,NH,3235,MERRIMACK,United States of America,Other Health Organization,City Government,"$125,000 "
NH ST DIV OF MENTAL HEALTH/DEV SVCS,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$300,000 "
"NH ST DEPT OF HEALTH & WELFARE, DIV OF PUBLIC HEALTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$17,124,106 "
"NH ST DEPT OF HEALTH & WELFARE, DIV OF P/H, BUR OF HLTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$1,246,216 "
NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$87,000 "
NH Dept of Environmental Services,42828025,CONCORD,NH,33016503,MERRIMACK,United States of America,Health Department,State Government,"$354,586 "
"NORTHEAST WASHINGTON COUNTY COMMUNITY HEALTH, INC",92061704,PLAINFIELD,VT,5667,WASHINGTON,United States of America,Other Health Organization,County Government,"$1,455,062 "
VT ST COMPREHENSIVE HEALTH PLANNING,809376155,MONTPELIER,VT,5602,WASHINGTON,United States of America,Other Health Organization,State Government,"$9,030,639 "
"VT ST DEPARTMENT OF HEALTH, DIV OF MEDICAL CARE REG",809376155,BURLINGTON,VT,5402,CHITTENDEN,United States of America,Health Department,State Government,"$150,000 "
STATE OF VERMONT GREEN MOUNTAIN CARE BOARD,79237234,MONTPELIER,VT,5620,WASHINGTON,United States of America,Other Health Organization,State Government,"($135,209)"
"Human Services, Vermont Agency Of",809376155,WATERBURY,VT,56711000,CHITTENDEN,United States of America,Other Health Organization,State Government,"$585,329 "
VT ST DEPARTMENT OF HEALTH,809376155,BURLINGTON,VT,5401,CHITTENDEN,United States of America,Health Department,State Government,"$13,794,953 "
"HEALTH IMPERATIVES, INC",38338109,BROCKTON,MA,2301,PLYMOUTH,United States of America,Other Health Organization,State Government,"$1,192,000 "
Town of Needham Health Department,948823513,NEEDHAM,MA,2492,NORFOLK,United States of America,Health Department,City Government,"$125,000 "
Town of Scituate,957344146,SCITUATE,MA,2066,PLYMOUTH,United States of America,Health Department,City Government,"$125,000 "
CIty of Newton Health and Human Services,76576826,NEWTON,MA,2459,MIDDLESEX,United States of America,Health Department,City Government,"$70,000 "
"SPRINGFIELD, MA, HLTH & HUMAN SRVS DEPT",198910523,SPRINGFIELD,MA,1103,HAMPDEN,United States of America,Health Department,City Government,"$2,228,455 "
GARDNER STATE HOSPITAL,73130932,SHREWSBURY,MA,1545,WORCESTER,United States of America,Hospital,State Government,"$4,798,051 "
MA ST DEPARTMENT OF MENTAL HEALTH,878369362,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$4,881,893 "
MA ST DEPARTMENT OF PUBLIC HEALTH,4726456,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$2,060,884 "
MA ST DEPARTMENT OF PUBLIC HEALTH,73130932,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$39,845,084 "
MA ST DEPARTMENT OF PUBLIC HEALTH,806418075,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,$0 
MA ST DEPARTMENT OF PUBLIC HEALTH,878298900,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$125,050,883 "
"PLYMOUTH, COUNTY OF, INC.",790427798,BROCKTON,MA,23031665,PLYMOUTH,United States of America,Other Health Organization,State Government,"$175,529 "
"Fund for Public Health in New York, Inc.",167227789,NEW YORK,NY,100071855,NEW YORK,United States of America,Health Department,City Government,"$14,498,801 "
Town of Middletown,34316760,MIDDLETOWN,RI,2842,NEWPORT,United States of America,Other Health Organization,City Government,"$125,000 "
RI ST DEPARTMENT OF HEALTH,78529392,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"($357,275)"
RI ST DEPARTMENT OF HEALTH,111414541,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$2,247,505 "
RI ST DEPARTMENT OF HEALTH,111414582,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$3,651,209 "
RI ST DEPARTMENT OF HEALTH,145310553,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$5,639,444 "
RI ST DEPARTMENT OF HEALTH,929922664,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$36,543,841 "
"RI ST DEPARTMENT OF MENTAL HEALTH, RETARDATION & HOSP",111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Health Department,State Government,"$9,730,230 "
RHODE ISLAND STATE PROVIDENCE PLANTATIONS,929922664,PROVIDENCE,RI,2904,PROVIDENCE,United States of America,Health Department,State Government,"($527,149)"
RI ST DEPT OF BEHAV HEALTHCARE DEV DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,"$982,373 "
