Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards,Year
PR DEPARTMENT OF HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,$0 ,2019
VI DEPARTMENT OF HEALTH,43577068,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$711,594 ",2019
VI DEPARTMENT OF HEALTH,167269765,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$411,320 ",2019
PR DEPARTMENT OF PUBLIC HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$45,614 ",2019
YORK HOSPITAL,77461549,YORK,ME,3909,YORK,United States of America,Hospital,City Government,"$174,659 ",2019
IL  ST  DEPT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$89,226,002 ",2019
ME DEPT OF BEHAVIORAL & DEVELOPMENTAL SERVICES,809045594,AUGUSTA,ME,4333,KENNEBEC,United States of America,Health Department,State Government,"$3,153,688 ",2019
"Me State Attorney General, Medical Examiner`s Office",809175169,AUGUSTA,ME,4333,KENNEBEC,United States of America,Other Health Organization,State Government,"$187,056 ",2019
City of Portland Maine,71747802,PORTLAND,ME,4101,CUMBERLAND,United States of America,Health Department,City Government,"$146,048 ",2019
"ISLANDS COMMUNITY MEDICAL SERVICE, INC",37717881,VINALHAVEN,ME,48630812,KNOX,United States of America,Other Health Organization,City Government,"$1,062,168 ",2019
"City of Franklin, New Hampshire",5598313,FRANKLIN,NH,3235,MERRIMACK,United States of America,Other Health Organization,City Government,"$125,000 ",2019
NH ST DIV OF MENTAL HEALTH/DEV SVCS,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$300,000 ",2019
"NH ST DEPT OF HEALTH & WELFARE, DIV OF PUBLIC HEALTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$5,872,677 ",2019
"NH ST DEPT OF HEALTH & WELFARE, DIV OF P/H, BUR OF HLTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$3,041,722 ",2019
NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,$0 ,2019
"NORTHEAST WASHINGTON COUNTY COMMUNITY HEALTH, INC",92061704,PLAINFIELD,VT,5667,WASHINGTON,United States of America,Other Health Organization,County Government,"$2,100,881 ",2019
VT ST COMPREHENSIVE HEALTH PLANNING,809376155,MONTPELIER,VT,5602,WASHINGTON,United States of America,Other Health Organization,State Government,"$802,034 ",2019
"VT ST DEPARTMENT OF HEALTH, DIV OF MEDICAL CARE REG",809376155,BURLINGTON,VT,5402,CHITTENDEN,United States of America,Health Department,State Government,"$165,000 ",2019
STATE OF VERMONT GREEN MOUNTAIN CARE BOARD,79237234,MONTPELIER,VT,5620,WASHINGTON,United States of America,Other Health Organization,State Government,"($447,391)",2019
"Human Services, Vermont Agency Of",809376155,WATERBURY,VT,56711000,CHITTENDEN,United States of America,Other Health Organization,State Government,"$6,663,405 ",2019
VT ST DEPARTMENT OF HEALTH,809376155,BURLINGTON,VT,5401,CHITTENDEN,United States of America,Health Department,State Government,"$5,533,137 ",2019
FRANKLIN MEDICAL CENTER,66977570,GREENFIELD,MA,1301,FRANKLIN,United States of America,Hospital,County Government,"$1,000,000 ",2019
"HEALTH IMPERATIVES, INC",38338109,BROCKTON,MA,2301,PLYMOUTH,United States of America,Other Health Organization,State Government,"$505,000 ",2019
Massachusetts Technology Park Corporation,147368641,WESTBOROUGH,MA,1581,WORCESTER,United States of America,Other Health Organization,State Government,"($235,709)",2019
Town of Needham Health Department,76618867,NEEDHAM,MA,2492,NORFOLK,United States of America,Health Department,City Government,"$125,000 ",2019
Town of Scituate,957344146,SCITUATE,MA,2066,PLYMOUTH,United States of America,Health Department,City Government,"$125,000 ",2019
"NEW BEDFORD, CITY OF (INC)",75719187,NEW BEDFORD,MA,27406132,BRISTOL,United States of America,Other Health Organization,City Government,"$480,421 ",2019
"SPRINGFIELD, MA, HLTH & HUMAN SRVS DEPT",198910523,SPRINGFIELD,MA,1103,HAMPDEN,United States of America,Health Department,City Government,"$2,622,256 ",2019
