"TAGGS Recipient Search Export
Data Fiscal Year = 2021; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
VI DEPARTMENT OF HEALTH,167269765,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$1,505,219 "
YORK HOSPITAL,77461549,YORK,ME,3909,YORK,United States of America,Hospital,City Government,"$70,426 "
IL  ST  DEPT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$1,088,550,149 "
ME DEPT OF BEHAVIORAL & DEVELOPMENTAL SERVICES,809045594,AUGUSTA,ME,4333,KENNEBEC,United States of America,Health Department,State Government,"$6,062,406 "
"Me State Attorney General, Medical Examiner`s Office",809175169,AUGUSTA,ME,4333,KENNEBEC,United States of America,Other Health Organization,State Government,"($219,936)"
"ISLANDS COMMUNITY MEDICAL SERVICE, INC",37717881,VINALHAVEN,ME,48630812,KNOX,United States of America,Other Health Organization,City Government,"$1,878,183 "
NH ST DIV OF MENTAL HEALTH/DEV SVCS,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"($1,113)"
"NH ST DEPT OF HEALTH & WELFARE, DIV OF PUBLIC HEALTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$44,945,919 "
NH Dept of Environmental Services,42828025,CONCORD,NH,33016503,MERRIMACK,United States of America,Health Department,State Government,"$387,973 "
"NORTHEAST WASHINGTON COUNTY COMMUNITY HEALTH, INC",92061704,PLAINFIELD,VT,5667,WASHINGTON,United States of America,Other Health Organization,County Government,"$3,359,758 "
VT ST COMPREHENSIVE HEALTH PLANNING,809376155,MONTPELIER,VT,5602,WASHINGTON,United States of America,Other Health Organization,State Government,"($3,630,358)"
"VT ST DEPARTMENT OF HEALTH, DIV OF MEDICAL CARE REG",809376155,BURLINGTON,VT,5402,CHITTENDEN,United States of America,Health Department,State Government,$0 
"Human Services, Vermont Agency Of",809376155,WATERBURY,VT,56711000,CHITTENDEN,United States of America,Other Health Organization,State Government,"$4,001,424 "
VT ST DEPARTMENT OF HEALTH,809376155,BURLINGTON,VT,5401,CHITTENDEN,United States of America,Health Department,State Government,"$1,470,755 "
Vermont Department of Mental Health,809376155,BURLINGTON,VT,5402,CHITTENDEN,United States of America,Health Department,State Government,$0 
FRANKLIN MEDICAL CENTER,66977570,GREENFIELD,MA,1301,FRANKLIN,United States of America,Hospital,County Government,$0 
"HEALTH IMPERATIVES, INC",38338109,BROCKTON,MA,2301,PLYMOUTH,United States of America,Other Health Organization,State Government,$0 
Town of Needham Health Department,76618867,NEEDHAM,MA,2492,NORFOLK,United States of America,Health Department,City Government,"$73,985 "
Town of Scituate,957344146,SCITUATE,MA,2066,PLYMOUTH,United States of America,Health Department,City Government,$0 
CIty of Newton Health and Human Services,76576826,NEWTON,MA,2459,MIDDLESEX,United States of America,Health Department,City Government,$0 
"SPRINGFIELD, MA, HLTH & HUMAN SRVS DEPT",198910523,SPRINGFIELD,MA,1103,HAMPDEN,United States of America,Health Department,City Government,"$3,353,316 "
City of Worcester,65782575,WORCESTER,MA,1608,WORCESTER,United States of America,Other Health Organization,City Government,"$620,618 "
MA ST DEPARTMENT OF MENTAL HEALTH,73130932,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$30,953,663 "
MA ST DEPARTMENT OF MENTAL HEALTH,878369362,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$3,235,728 "
MA ST DEPARTMENT OF PUBLIC HEALTH,73130932,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$47,309,339 "
MA ST DEPARTMENT OF PUBLIC HEALTH,878298900,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$777,692,363 "
"Newport County Community Mental Health Center, Inc.",99421919,MIDDLETOWN,RI,28425674,NEWPORT,United States of America,Hospital,County Government,$0 
"Rhode Island Public Health Foundation, The",946825767,PROVIDENCE,RI,2904,PROVIDENCE,United States of America,Health Department,State Government,$0 
"Fund for Public Health in New York, Inc.",167227789,NEW YORK,NY,100071855,NEW YORK,United States of America,Health Department,City Government,"$1,059,336 "
"Fund For Public Health In New York, Inc.",167227789,NEW YORK,NY,100073107,NEW YORK,United States of America,Other Health Organization,State Government,$0 
Town of Middletown,34316760,MIDDLETOWN,RI,2842,NEWPORT,United States of America,Other Health Organization,City Government,"$24,825 "
RI ST DEPARTMENT OF HEALTH,111414582,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,$0 
RI ST DEPARTMENT OF HEALTH,145310553,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$2,860,157 "
RI ST DEPARTMENT OF HEALTH,929922664,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$139,291,618 "
"RI ST DEPARTMENT OF MENTAL HEALTH, RETARDATION & HOSP",111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Health Department,State Government,"$11,453,184 "
RI ST DEPT OF BEHAV HEALTHCARE DEVELOPMENTAL DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,"$2,000,000 "
"PLANNED PARENTHOOD OF SOUTHERN NEW ENGLAND, INC",72132368,NEW HAVEN,CT,65112348,NEW HAVEN,United States of America,Other Health Organization,State Government,$0 
DANBURY HOSPITAL,75394080,DANBURY,CT,6810,FAIRFIELD,United States of America,Hospital,City Government,"$966,150 "
YALE NEW HAVEN HOSPITAL,75406561,NEW HAVEN,CT,65048900,NEW HAVEN,United States of America,Hospital,City Government,"$130,000 "
HARTFORD HOSPITAL,65533796,HARTFORD,CT,6115,HARTFORD,United States of America,Hospital,City Government,"$2,146,093 "
CORNELL SCOTT HILL HEALTH CORPORATION,10156370,NEW HAVEN,CT,65191233,NEW HAVEN,United States of America,Other Health Organization,City Government,"$7,006,260 "
LEDGE LIGHT HEALTH DISTRICT,829794598,NEW LONDON,CT,63205335,NEW LONDON,United States of America,Health Department,County Government,"$162,625 "
Marin City Health and Wellness Center,830668880,SAUSALITO,CA,949651107,MARIN,United States of America,Hospital,City Government,"$1,171,901 "
CT ST DEPT OF PUBLIC HEALTH,79102530,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"($499,381)"
CT ST DEPT OF PUBLIC HEALTH,807853791,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$420,058,103 "
CT ST DEPARTMENT OF MENTAL HEALTH & ADDICTION SVCS,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$17,844,138 "
CT ST DEPARTMENT OF MENTAL RETARDATION,807852694,HARTFORD,CT,61061308,HARTFORD,United States of America,Other Health Organization,State Government,"$712,048 "
CT ST DEPT OF MENTAL HLTH & ADDICITION SERVICES,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Other Health Organization,State Government,"$21,623,955 "
OFFICE OF HEALTH STRATEGY,80974802,HARTFORD,CT,6144,HARTFORD,United States of America,Other Health Organization,State Government,"($2,878,749)"
"HARTFORD CITY, DEPARTMENT OF HEALTH",198349602,HARTFORD,CT,6112,HARTFORD,United States of America,Health Department,City Government,"$3,649,901 "
