Location,Adults Reporting Any Mental Illness in the Past Year,Adults Reporting Serious Mental Illness in the Past Year
United States,0.199,0.049
Alabama,0.213,0.056
Alaska,0.215,0.059
Arizona,0.201,0.056
Arkansas,0.203,0.055
California,0.195,0.045
Colorado,0.232,0.055
Connecticut,0.189,0.045
Delaware,0.209,0.054
District of Columbia,0.228,0.049
Florida,0.172,0.043
Georgia,0.179,0.045
Hawaii,0.175,0.042
Idaho,0.225,0.053
Illinois,0.192,0.045
Indiana,0.223,0.054
Iowa,0.185,0.054
Kansas,0.206,0.057
Kentucky,0.225,0.058
Louisiana,0.212,0.053
Maine,0.221,0.06
Maryland,0.176,0.045
Massachusetts,0.212,0.052
Michigan,0.203,0.05
Minnesota,0.205,0.049
Mississippi,0.202,0.052
Missouri,0.227,0.056
Montana,0.208,0.052
Nebraska,0.203,0.049
Nevada,0.22,0.056
New Hampshire,0.224,0.049
New Jersey,0.164,0.041
New Mexico,0.214,0.053
New York,0.195,0.044
North Carolina,0.193,0.048
North Dakota,0.205,0.05
Ohio,0.236,0.063
Oklahoma,0.225,0.054
Oregon,0.238,0.057
Pennsylvania,0.197,0.049
Rhode Island,0.224,0.051
South Carolina,0.194,0.049
South Dakota,0.183,0.053
Tennessee,0.194,0.054
Texas,0.172,0.043
Utah,0.269,0.063
Vermont,0.223,0.058
Virginia,0.186,0.045
Washington,0.234,0.055
West Virginia,0.246,0.058
Wisconsin,0.202,0.053
Wyoming,0.226,0.055
