,self_employed,company_size,tech_or_not,tech_it,employer_provide_coverage,mh_care_options_coverage,wellness_program_discuss,resources_mh_help,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,leave,talk_ph_mh_coworkers,talk_mh_supervisors,talk_mh_employer,talk_mh_coworkers,coworker_discuss_mh,importance_ph_employer,importance_mh_employer,previous_employer,prev_tech_or_not,prev_mh_coverage,Were you aware of the options for mental health care provided by your previous employers?,prev_wellness_program_discuss,prev_resources_mh_help,prev_anonymity_mh_treatment,prev_discuss_ph_mh,prev_discuss_mh_supervisors,prev_discuss_employer,prev_discuss_coworkers,prev_coworkers_discuss_mh,describe_conversation,prev_employer_importance_ph,prev_emploey_importance_mh,currently_dx_mh,past_mh_disorder,treatment_for_mh_by_mh_professional,mh_family_history,if_mh_treated_effectively_interfere_work,if_mh_not_treated_effectively_interfere_work,not_reveal_mh_because_observations,share_mh_family_friends,interview_ph,why_why_not_ph,interview_mh,why_why_not_mh,identified_work_mh_individual,reaction_towards_mh,employer_unsuportive_response_mh,unsuportive_desciption,employer_suportive_response_mh,tech_industry_support_mh_issues,age,gender,country_live,state_live,ethnicity,country_work,state_work,key
0,False,26-100,True,True,I don't know,No,Yes,Yes,I don't know,Very easy,Physical health,Yes,False,Yes,True,5.0,5.0,True,False,I don't know,N/A (was not aware),Some did,"Yes, they all did",I don't know,Physical health,Some of my previous supervisors,False,False,True,,8.0,5.0,Don't Know,No,False,No,Not applicable to me,Not applicable to me,No,8,Yes,If it impacts work I would bring it up,Maybe,If I feel it's under control I likely wouldn't bring it up for fear of adding something they would need to consider when hiring.,False,8,No,,Maybe/Not sure,4,25,Male,United States of America,Nebraska,White,United States of America,Nebraska,45
1,False,26-100,True,True,Yes,No,No,Yes,Yes,I don't know,Physical health,Maybe,False,Maybe,True,5.0,7.0,True,False,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,False,True,True,,8.0,5.0,Possibly,Possibly,False,Yes,Sometimes,Often,No,7,No,I do not trust that the potential employer would remain unbiased in light of such information.,No,I do not trust that the potential employer would remain unbiased in light of such information.,False,7,"Yes, I observed","As I recall, a direct supervisor was identified as having an anxiety disorder after missing several days of work through very informal channels.","Yes, I experienced",1,51,male,United States of America,Nebraska,White,United States of America,Nebraska,45
2,False,26-100,True,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,No,False,Maybe,True,5.0,4.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,False,False,,10.0,2.0,No,No,False,I don't know,Not applicable to me,Not applicable to me,No,4,Maybe,It depends on its applicability to my job and how detrimental it could be.,No,The stigma attached to mental health and not knowing the interviewers feelings on it could potentially affect my ability to obtain said job.,False,4,Maybe/Not sure,,"Yes, I observed",2,27,Male,United States of America,Illinois,White,United States of America,Illinois,45
3,False,100-500,True,True,I don't know,No,Yes,Yes,Yes,Very easy,Physical health,Yes,False,Maybe,True,1.0,3.0,True,True,I don't know,N/A (was not aware),Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,False,False,True,,3.0,1.0,No,No,False,Yes,Not applicable to me,Not applicable to me,No,3,No,discrimination/bias,No,discrimination/bias,False,8,No,,"Yes, I observed",3,37,male,United States of America,Nebraska,White,United States of America,Nebraska,45
4,False,26-100,True,True,I don't know,No,I don't know,I don't know,I don't know,I don't know,Physical health,No,False,No,False,4.0,4.0,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,False,False,,4.0,4.0,No,No,False,No,Not applicable to me,Not applicable to me,,1,No,,No,,False,5,No,,No,3,46,m,United States of America,Nebraska,White,United States of America,Nebraska,45
5,False,100-500,True,False,Yes,No,No,No,I don't know,Somewhat difficult,Physical health,No,False,Yes,True,6.0,5.0,True,True,"Yes, they all did","No, I only became aware later",Some did,Some did,I don't know,Physical health,Some of my previous supervisors,True,True,True,same,7.0,6.0,Yes,Yes,True,Yes,Sometimes,Often,No,5,No,wouldn't want to risk not getting the job,No,wouldn't want to risk not getting the job,False,5,No,,Maybe/Not sure,3,36,female,United States of America,Nebraska,White,United States of America,Nebraska,45
6,False,26-100,True,True,Yes,Yes,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,False,Maybe,True,5.0,5.0,True,False,I don't know,"No, I only became aware later",None did,None did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,10.0,3.0,Yes,Yes,True,Yes,Rarely,Sometimes,No,7,Yes,"Would, because it is a safety issue for me, to not disclose the information. Just awareness. ",No,"I just would not because I don’t think it changes how I perform my job. Work still gets done, just might go about it differently if I’m having trouble. ",False,6,No,,No,3,39,Female,United States of America,Nebraska,White,United States of America,Nebraska,45
7,True,,,,,,,,,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,False,False,True,"I was told that my professional critique caused a burden to their condition.  While I respect this, and offered to do it a different way, they said I could provide no critique as it would affect them negatively.  That I couldn't abide with.",3.0,3.0,Possibly,No,True,Yes,Rarely,Sometimes,No,5,Maybe,"If it was a physical issue that would make me miss work regularly, I'd bring it up.  If it was something I could power through, no.",No,Too much stigma yet,False,5,Maybe/Not sure,,No,3,35,Male,United States of America,Wisconsin,White,United States of America,Wisconsin,45
8,False,26-100,True,True,Yes,No,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,True,8.0,7.0,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,False,False,,2.0,1.0,No,Yes,False,No,Never,Not applicable to me,No,5,Maybe,Depends on who I was talking to,No,No knowledge of how supportive they are,False,5,No,,No,2,49,,United Kingdom,,,United Kingdom,,45
9,False,6-25,True,True,I don't know,,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,False,Maybe,False,8.0,8.0,True,True,"No, none did",N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,True,False,False,,5.0,6.0,Possibly,Don't Know,True,I don't know,Sometimes,Sometimes,Maybe,2,Maybe,,Maybe,,False,8,"Yes, I observed",,Maybe/Not sure,3,45,Male,United Kingdom,,,United Kingdom,,45
